packet_number,length,bssid,ta,ra,fc_type_subtype,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
116,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-86,,,4883046797,1742833696.516235,2025-03-24 18:28:16.516235
117,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400719565219,1742833696.591285,2025-03-24 18:28:16.591285
118,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-86,,,4883149195,1742833696.61864,2025-03-24 18:28:16.618640
119,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400719667597,1742833696.693615,2025-03-24 18:28:16.693615
120,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-86,,,4883251593,1742833696.721033,2025-03-24 18:28:16.721033
121,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400719769994,1742833696.795751,2025-03-24 18:28:16.795751
122,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-86,,,4883355891,1742833696.825107,2025-03-24 18:28:16.825107
123,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400719872422,1742833696.898473,2025-03-24 18:28:16.898473
124,108,ff:ff:ff:ff:ff:ff,a8:80:55:1a:57:47,ff:ff:ff:ff:ff:ff,0x0004,1,1,2412,4,False,False,-81,,,,1742833696.906619,2025-03-24 18:28:16.906619
125,108,ff:ff:ff:ff:ff:ff,a8:80:55:1a:57:47,ff:ff:ff:ff:ff:ff,0x0004,1,1,2412,4,False,False,-81,,,,1742833696.907004,2025-03-24 18:28:16.907004
126,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-86,,,4883456397,1742833696.925808,2025-03-24 18:28:16.925808
127,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400719974809,1742833697.000843,2025-03-24 18:28:17.000843
128,108,ff:ff:ff:ff:ff:ff,a8:80:55:1a:57:47,ff:ff:ff:ff:ff:ff,0x0004,1,1,2412,4,False,False,-81,,,,1742833697.007271,2025-03-24 18:28:17.007271
129,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-86,,,4883558798,1742833697.028323,2025-03-24 18:28:17.028323
130,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400720077205,1742833697.103197,2025-03-24 18:28:17.103197
131,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-87,,,4883661198,1742833697.130651,2025-03-24 18:28:17.130651
132,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-28,,,2400720179621,1742833697.205654,2025-03-24 18:28:17.205654
