packet_number,length,bssid,ta,ra,fc_type_subtype,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
119,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-84,,,,1742833365.7866364,2025-03-24 18:22:45.786636
120,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,3a:e7:27:78:f4:94,0x0005,6,64,5320,5,False,False,-89,,,959797651949,1742833365.8037684,2025-03-24 18:22:45.803768
121,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,3a:e7:27:78:f4:94,0x0005,6,64,5320,5,True,False,-89,,,959797652981,1742833365.8047948,2025-03-24 18:22:45.804795
122,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,3a:e7:27:78:f4:94,0x0005,6,64,5320,5,True,False,-88,,,959797653752,1742833365.8055582,2025-03-24 18:22:45.805558
123,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,3a:e7:27:78:f4:94,0x0005,6,64,5320,5,True,False,-88,,,959797654542,1742833365.8063774,2025-03-24 18:22:45.806377
124,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,3a:e7:27:78:f4:94,0x0005,6,64,5320,5,True,False,-89,,,959797656113,1742833365.8081336,2025-03-24 18:22:45.808134
125,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,3a:e7:27:78:f4:94,0x0005,6,64,5320,5,True,False,-88,,,959797656929,1742833365.8089528,2025-03-24 18:22:45.808953
126,460,d8:21:da:26:2a:75,d8:21:da:26:2a:75,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-89,,,959797658283,1742833365.8100252,2025-03-24 18:22:45.810025
127,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-83,,,,1742833365.8258843,2025-03-24 18:22:45.825884
128,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-84,,,,1742833365.8388298,2025-03-24 18:22:45.838830
129,454,08:aa:89:74:ed:c5,08:aa:89:74:ed:c5,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-94,,,1326763417677,1742833365.8463826,2025-03-24 18:22:45.846383
130,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-86,,,,1742833365.8531384,2025-03-24 18:22:45.853138
131,493,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-66,,,2263144243254,1742833365.8596303,2025-03-24 18:22:45.859630
132,116,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,ff:ff:ff:ff:ff:ff,0x0020,6,64,5320,5,False,False,-66,,,,1742833365.8596637,2025-03-24 18:22:45.859664
133,116,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,ff:ff:ff:ff:ff:ff,0x0020,6,64,5320,5,False,False,-66,,,,1742833365.8599167,2025-03-24 18:22:45.859917
134,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,4a:8c:90:6e:fc:9b,0x0005,6,64,5320,5,False,False,-88,,,959797711681,1742833365.8635273,2025-03-24 18:22:45.863527
135,478,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,4a:8c:90:6e:fc:9b,0x0005,6,64,5320,5,False,False,-66,,,2263144247852,1742833365.8641353,2025-03-24 18:22:45.864135
136,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,4a:8c:90:6e:fc:9b,0x0005,6,64,5320,5,True,False,-88,,,959797713166,1742833365.8649266,2025-03-24 18:22:45.864927
137,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,4a:8c:90:6e:fc:9b,0x0005,6,64,5320,5,True,False,-88,,,959797714029,1742833365.8657894,2025-03-24 18:22:45.865789
138,460,d8:21:da:26:2a:75,d8:21:da:26:2a:75,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-89,,,959797760122,1742833365.9117918,2025-03-24 18:22:45.911792
139,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-84,,,,1742833365.9118156,2025-03-24 18:22:45.911816
140,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-84,,,,1742833365.9121797,2025-03-24 18:22:45.912180
141,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-82,,,,1742833365.9129686,2025-03-24 18:22:45.912969
142,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-84,,,,1742833365.936768,2025-03-24 18:22:45.936768
143,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-86,,,,1742833365.9369931,2025-03-24 18:22:45.936993
144,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-83,,,,1742833365.9388824,2025-03-24 18:22:45.938882
145,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-85,,,,1742833365.939169,2025-03-24 18:22:45.939169
146,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-84,,,,1742833365.9396908,2025-03-24 18:22:45.939691
147,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-84,,,,1742833365.9422636,2025-03-24 18:22:45.942264
