packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
97,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,438374448,1594650019.957545,2020-07-13 17:20:19.957545
98,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,438477092,1594650020.060299,2020-07-13 17:20:20.060299
99,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,438579284,1594650020.162421,2020-07-13 17:20:20.162421
100,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,438681656,1594650020.264794,2020-07-13 17:20:20.264794
101,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,438784082,1594650020.367178,2020-07-13 17:20:20.367178
102,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,438886448,1594650020.469566,2020-07-13 17:20:20.469566
103,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,438988896,1594650020.57206,2020-07-13 17:20:20.572060
104,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,439091275,1594650020.674435,2020-07-13 17:20:20.674435
105,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,439193667,1594650020.776817,2020-07-13 17:20:20.776817
106,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,439296097,1594650020.879316,2020-07-13 17:20:20.879316
107,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,439398506,1594650020.981688,2020-07-13 17:20:20.981688
108,66,2c:f8:9b:dd:06:a0,00:20:a6:fc:b0:36,2c:f8:9b:dd:06:a0,0x000b,0,9,1,2412,6,False,False,-24,,,,1594650020.983185,2020-07-13 17:20:20.983185
109,46,,,00:20:a6:fc:b0:36,0x001d,1,9,1,2412,6,False,False,-36,,,,1594650020.983193,2020-07-13 17:20:20.983193
110,66,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,00:20:a6:fc:b0:36,0x000b,0,9,1,2412,6,False,False,-36,,,,1594650020.994814,2020-07-13 17:20:20.994814
111,46,,,2c:f8:9b:dd:06:a0,0x001d,1,6,1,2412,6,False,False,-34,,,,1594650020.994822,2020-07-13 17:20:20.994822
112,155,2c:f8:9b:dd:06:a0,00:20:a6:fc:b0:36,2c:f8:9b:dd:06:a0,0x0000,0,9,1,2412,6,False,False,-24,,,,1594650020.996313,2020-07-13 17:20:20.996313
113,46,,,00:20:a6:fc:b0:36,0x001d,1,9,1,2412,6,False,False,-36,,,,1594650020.99632,2020-07-13 17:20:20.996320
114,163,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,00:20:a6:fc:b0:36,0x0001,0,9,1,2412,6,False,False,-36,,,,1594650020.999564,2020-07-13 17:20:20.999564
115,163,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,00:20:a6:fc:b0:36,0x0001,0,9,1,2412,6,True,False,-36,,,,1594650020.999571,2020-07-13 17:20:20.999571
116,163,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,00:20:a6:fc:b0:36,0x0001,0,9,1,2412,6,True,False,-36,,,,1594650020.999577,2020-07-13 17:20:20.999577
117,46,,,2c:f8:9b:dd:06:a0,0x001d,1,6,1,2412,6,False,False,-34,,,,1594650020.999583,2020-07-13 17:20:20.999583
118,191,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,00:20:a6:fc:b0:36,0x0028,2,9,1,2412,6,False,False,-36,,,,1594650021.006689,2020-07-13 17:20:21.006689
119,46,,,2c:f8:9b:dd:06:a0,0x001d,1,6,1,2412,6,False,False,-36,,,,1594650021.006708,2020-07-13 17:20:21.006708
120,191,2c:f8:9b:dd:06:a0,00:20:a6:fc:b0:36,2c:f8:9b:dd:06:a0,0x0028,2,9,1,2412,6,False,False,-24,,,,1594650021.008436,2020-07-13 17:20:21.008436
121,46,,,00:20:a6:fc:b0:36,0x001d,1,9,1,2412,6,False,False,-36,,,,1594650021.008443,2020-07-13 17:20:21.008443
122,225,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,00:20:a6:fc:b0:36,0x0028,2,9,1,2412,6,False,False,-36,,,,1594650021.012191,2020-07-13 17:20:21.012191
123,46,,,2c:f8:9b:dd:06:a0,0x001d,1,6,1,2412,6,False,False,-36,,,,1594650021.012198,2020-07-13 17:20:21.012198
